z,u_wc
0.249,-0.320
-2.207,-1.326
0.294,0.300
-1.395,-1.182
-1.561,-0.646
-2.215,-2.352
-0.756,-0.497
0.314,-0.271
-2.331,-1.815
-1.323,-1.050
0.543,-0.435
-0.901,-0.671
-0.485,-0.550
-1.262,-1.237
-1.708,-1.073
-0.520,0.068
0.345,0.953
1.220,1.066
-2.284,-2.352
-0.886,-0.941
-2.430,-2.352
-0.668,-0.894
-2.188,-1.908
-1.116,-1.514
-2.692,-2.881
-2.771,-1.870
-1.197,-1.003
-2.344,-1.881
-1.625,-1.289
-0.826,-0.847
-1.703,-0.959
-1.527,-1.703
-1.028,-1.224
-0.193,-0.943
-1.664,-1.406
-1.926,-1.755
-1.546,-0.636
0.856,0.004
-2.077,-1.755
0.882,-0.012
-0.744,-0.348
-1.530,-0.906
-1.107,-0.698
0.821,0.037
0.577,0.970
-0.594,-1.230
0.283,-0.180
-2.160,-1.377
-1.565,-1.234
-0.222,-0.318
-0.892,-1.162
0.104,-0.300
-1.185,-0.671
-1.083,-1.282
-1.274,-1.003
0.442,-0.220
-3.749,-2.994
-0.941,-1.198
0.018,0.187
1.144,0.808
-0.944,-1.198
-0.939,-0.771
0.657,-0.056
-0.543,-0.591
-0.184,-0.318
0.312,-0.226
-2.207,-2.654
-1.525,-1.298
-2.118,-2.333
-1.498,-0.942
-1.021,-1.340
-1.034,-0.485
-0.442,-0.359
-0.587,-1.268
-1.419,-1.425
-0.481,-0.706
-1.832,-1.405
-1.575,-1.380
-0.891,-0.941
0.013,0.493
-0.554,-0.930
-0.820,-1.021
-2.062,-1.835
-2.377,-3.577
-0.464,-0.550
-0.269,-0.812
-1.423,-0.671
-0.705,-1.022
-2.140,-2.955
-0.953,-1.198
-0.419,-0.329
-0.633,-0.428
-0.563,-0.815
-0.717,0.339
-1.105,-1.012
0.801,1.680
-3.049,-2.966
-1.328,-1.331
-1.454,-1.857
-1.112,-1.003
-0.682,-0.644
-2.077,-1.333
-2.045,-1.521
-2.405,-1.881
-0.519,-0.732
0.483,0.354
2.232,1.358
-0.511,-0.191
-2.178,-1.627
-0.548,-1.068
-2.210,-1.908
-1.011,-0.748
-2.727,-2.822
-0.911,-0.771
-3.159,-3.354
0.204,0.103
0.000,-0.859
-0.579,-1.154
0.817,-0.554
-0.369,-0.164
-1.815,-1.305
0.011,0.766
-1.704,-1.073
-2.005,-0.978
-1.518,-1.850
-2.473,-1.825
-1.493,-0.942
-1.483,-1.823
-0.991,-1.198
-2.204,-1.377
-0.848,-0.609
-2.701,-3.184
-1.985,-1.975
-0.549,-0.492
-0.352,-0.995
-1.108,-1.308
-0.284,-0.245
-1.809,-1.380
-1.057,-1.256
-0.671,-0.618
-1.439,-1.331
-0.762,-1.412
-1.142,-1.247
-1.431,-1.208
-1.906,-2.001
-2.166,-2.028
-1.025,-0.635
-1.719,-1.324
-1.255,-1.305
0.404,-0.101
1.453,0.959
1.034,1.782
2.040,1.876
1.655,1.119
1.068,1.782
1.210,2.143
1.109,1.782
0.801,2.511
0.101,2.018
1.237,1.977
0.785,2.585
1.948,1.781
2.056,1.280
1.628,1.605
0.962,1.674
1.577,1.265
0.510,2.695
1.147,1.319
0.027,2.536
-1.009,1.059
0.409,2.543
0.539,1.313
0.328,2.660
-0.106,2.560
1.143,2.446
-0.315,1.449
2.773,0.811
-0.138,2.657
-0.391,2.788
2.270,1.388
1.417,1.677
1.451,1.599
1.369,2.099
0.831,2.030
1.140,1.945
1.863,1.585
0.744,2.197
-0.611,2.592
0.911,2.412
-0.015,3.024
1.837,1.789
-0.163,2.346
-0.136,2.660
0.482,1.334
1.076,1.640
-1.003,2.778
0.367,2.516
0.739,2.056
-0.233,2.080
0.718,0.891
0.080,2.490
2.778,0.539
0.700,1.657
0.626,1.224
1.627,1.510
1.540,1.922
1.264,1.677
0.263,2.836
1.844,1.275
1.505,1.510
0.885,0.983
2.234,0.289
0.823,2.040
2.847,1.116
0.714,2.184
2.224,1.309
1.366,2.156
1.773,1.142
2.599,0.511
1.102,0.386
1.611,0.752
1.288,1.677
0.794,2.066
-0.033,2.474
1.677,0.939
1.415,1.999
0.427,0.807
0.685,1.890
0.325,2.222
0.569,2.708
1.341,1.659
2.012,1.802
1.169,1.452
-0.565,2.440
2.369,0.612
2.135,1.451
2.425,0.924
0.473,2.490
0.046,2.713
-0.331,2.359
0.200,2.405
1.631,1.843
0.643,2.638
1.118,2.661
-1.559,2.920
1.729,1.062
1.025,2.561
1.506,1.616
0.036,2.648
0.633,2.058
0.763,2.782
0.811,2.639
1.736,2.276
1.504,2.321
0.267,3.059
2.070,0.889
0.484,3.016
0.582,0.997
1.762,0.120
0.645,2.281
-0.512,3.137
0.570,2.124
1.747,2.063
0.371,2.695
-0.850,2.619
2.055,2.339
1.236,0.861
0.979,2.932
1.076,2.301
0.911,2.275
-0.024,2.121
0.442,2.516
1.786,1.030
-0.779,2.997
1.016,2.015
0.801,2.281
1.465,1.227
-0.891,2.966
0.596,2.255
0.030,1.296
-0.063,2.268
1.945,1.448
1.233,1.756
2.322,1.415
0.877,2.307
0.918,2.146
1.153,0.969
1.866,1.057
1.324,1.729
2.294,-1.333
0.064,2.045
-0.745,2.321
0.843,2.834
-0.014,2.935
0.777,2.532
-0.171,2.426
-0.301,3.106
1.976,1.748
0.782,2.229
2.440,0.289
0.835,0.876
-0.008,3.516
1.525,3.176
-2.676,3.214
2.089,1.844
-2.115,3.241
-0.803,-3.833
-2.945,-1.378
2.675,3.188
-1.388,1.278
1.997,0.006
-0.906,-0.339
1.623,0.471
3.305,3.203
1.293,3.531
-0.106,3.590
-2.085,-0.492
-0.433,-0.015
-3.233,-3.553
-3.067,-0.581
-1.668,-0.825
1.106,3.253
2.704,3.330
-2.664,-3.637
-2.340,1.843
-2.072,0.710
3.243,3.157
2.202,-1.830
3.930,-1.981
-1.894,1.637
-1.595,2.541
0.486,-1.343
0.031,1.387
-0.909,3.144
-0.022,-3.596
0.053,-0.630
3.848,-2.242
0.546,-3.056
-0.386,0.153
-1.854,0.448
1.486,1.484
1.351,2.292
-0.905,3.732
1.313,-0.360
-1.118,3.053
-3.498,-2.232
1.300,2.384
2.176,-3.591
-2.107,3.271
0.947,3.321
1.582,3.449
-3.984,-3.289
-2.103,-0.985
-1.339,-1.810
2.579,2.055
2.608,-3.650
1.743,2.912
-1.180,2.851
-0.623,0.649
3.820,5.049
0.294,2.893
1.585,3.589
-1.774,1.019
-0.595,-2.661
-2.576,-2.023
3.115,-3.432
1.697,1.380
1.190,-3.664
-0.212,-1.141
-2.779,-2.938
0.193,3.156
2.399,0.612
1.059,-0.613
-3.859,-2.938
2.089,-2.578
3.843,-2.282
0.911,3.503
0.955,-3.319
2.284,3.214
-2.346,2.669
1.584,1.843
